Monthly Budget,Food,Electronics,Online Shopping,Monthly Bill,Groceries,Transport,Housing,Miscellaneous,Saving Goal
20795,3550,740,1543,2723,2395,1411,3074,516,4839
5860,1261,722,232,682,520,364,1437,310,329
81820,9724,7525,3141,12234,9681,8080,22580,1807,7044
59886,4921,5739,2477,7573,6603,3855,14268,3039,11407
11265,2065,1007,589,2065,1194,530,2870,298,643
87386,11014,6071,7925,10690,14557,4827,21667,5588,5043
42194,3565,1698,2210,3859,4133,1502,4680,1029,19513
92498,9846,6950,4860,4673,7580,6035,17332,1199,34018
49131,8929,2902,4391,5371,4788,4017,7887,1556,9287
65263,8921,7630,3626,6212,10689,6453,10574,3997,7158
21023,2904,1217,1589,2558,1466,624,4476,294,5891
46090,5567,6001,5106,8187,4012,3908,8354,2537,2415
72221,7861,2343,3065,4444,3505,4918,9985,1987,34108
69820,5346,4303,3167,7874,5638,6849,15650,2387,16524
5769,845,470,377,632,533,190,1138,247,1332
64735,4858,6138,3833,9652,6334,5399,12795,1107,14615
67955,11305,3755,6035,9258,9487,5804,14003,2787,5517
69925,4293,7286,2607,9805,7783,3985,8203,2379,23581
72969,6382,3805,4329,9591,7551,2409,10061,1120,27717
10311,1125,638,568,917,863,301,2069,173,3652
88104,12059,5265,3934,9769,14916,9424,19380,3458,9893
58707,5029,3932,3137,6888,7503,2753,8947,2287,18227
90305,9512,7058,3335,12700,8027,5013,15616,1383,27657
33693,3887,1492,1526,2711,2774,2050,4068,331,14851
76932,10517,7437,6039,9474,5551,5348,13998,1592,16971
98016,8775,8370,5909,7893,11457,11268,16135,4528,21286
30658,3801,2429,1927,3640,3803,902,3733,353,10066
89478,6094,4466,3765,11907,7360,6650,14933,4334,29964
23431,2838,1449,1596,2164,2785,791,5247,437,6119
7747,808,271,752,837,721,265,1725,434,1931
64150,8329,6271,3154,4419,9216,2374,11519,1392,17472
70725,5036,4759,4632,7358,4847,3693,7878,1578,30940
89654,13873,8066,4696,10057,7100,5494,14554,2724,23088
40773,2733,1997,1378,3283,3191,1583,6512,806,19284
72435,6752,7734,6354,5242,8564,2484,14255,995,20050
61886,4492,4246,1534,4021,5392,3272,6722,2674,29528
71803,9315,1685,1760,5631,6203,1953,13322,1431,30500
36551,5905,2287,2858,3635,3815,1667,7790,802,7788
16394,1848,931,973,1239,1239,759,1981,229,7191
74092,13942,7020,6152,6582,9291,4130,14781,4816,7374
8890,1183,250,242,639,841,403,1059,124,4145
46606,6142,3861,3594,4904,3420,2814,5108,1182,15577
85038,8451,7964,7284,14160,12426,3996,22883,1538,6333
92313,11348,5443,6121,6663,10073,5884,12071,3329,31378
15627,893,595,525,1294,1356,672,2226,429,7632
13792,2521,1411,1210,1219,1142,529,3999,635,1122
78969,10038,2290,5756,7667,7212,4776,13822,3745,23659
48001,5688,1348,1988,5382,3733,2175,7643,1487,18552
81552,7181,5566,5093,3622,5231,4177,13513,3353,33812
28897,4127,1781,1386,2539,3147,2326,5497,1265,6826
73148,15001,5266,4208,6186,8564,7425,13624,2494,10377
28483,2697,1823,3187,4039,2265,3363,8625,514,1966
53555,5147,3718,4676,6426,4311,3339,6803,2482,16649
22159,3675,955,1298,1796,2183,1755,4016,824,5624
85077,11815,3835,2567,4460,6148,2107,10824,2741,40576
40920,3423,3709,3618,6623,3625,3923,10244,2589,3161
97067,5915,6783,8092,9534,6235,2992,21554,1166,34791
72121,6247,11239,6187,9524,7278,6366,16321,4539,4416
74479,6117,5997,6282,13384,12632,3314,14244,3035,9469
94475,15714,6030,7048,8261,12253,4385,15104,1669,24007
24457,3430,1763,916,3294,2335,899,4653,934,6229
71557,8330,2779,5214,8710,8198,2255,8196,2215,25657
82189,7582,6728,3205,5051,5001,2130,11475,3240,37773
83953,10713,5675,4714,7400,7839,3417,13274,2578,28339
57995,3510,2110,2593,4822,3250,2472,9144,2306,27784
45757,3272,3100,1776,4218,4128,1769,5885,1166,20440
14692,1983,551,1205,1458,1198,941,2197,557,4598
50758,2775,4487,3398,4995,2382,2327,7679,1129,21582
77409,7583,7413,4779,10130,5815,5607,8427,1397,26254
76211,8439,7077,6687,11682,12151,5849,14370,3448,6504
70697,4670,2908,2300,10306,5207,2255,12357,2770,27094
42065,4478,2893,4608,7253,5261,2366,7854,3448,3899
97093,14600,5308,4620,13606,8516,4903,11665,3060,30811
37606,2444,2032,1478,2943,5196,3418,5055,1267,13770
16534,3568,1549,763,2572,2030,718,3598,411,1321
99663,7816,12774,7862,13980,12778,8064,16532,4519,15333
45397,5254,2358,3028,3354,3248,1077,4323,1775,20975
96387,14895,7946,6209,5961,9729,4592,13380,2120,31551
6016,1142,607,301,766,433,503,1211,81,967
94789,12780,8445,3286,5036,7294,3943,16282,3519,34200
60591,5918,2068,3855,5913,8578,3496,10612,845,19301
94812,9437,6267,3200,9009,11535,7959,18274,2986,26140
28247,1930,1746,936,2602,2575,589,3326,718,13820
29300,1833,2469,1672,2078,3128,1473,5438,729,10476
